BPM,SpO2,Temp,Humidity,Motion(AX),Motion(AY),Motion(AZ),Lat,Lon,Label
190,92.6,41.8,47.5,1940,-5320,16296,13.127265,79.917392,Heat_Risk
102,94.6,41.1,45.0,-3200,-260,16020,13.127264,79.917391,Normal
125,93.8,41.4,46.7,-4800,-220,15980,13.127263,79.917390,Fatigue
138,92.8,41.3,47.5,-6400,-180,15940,13.127262,79.917389,Fatigue
152,94.6,41.1,45.0,-3200,-260,16020,13.127264,79.917391,Heat_Risk
165,93.8,41.4,46.7,-4800,-220,15980,13.127263,79.917390,Heat_Risk
178,92.8,41.3,47.5,-6400,-180,15940,13.127262,79.917389,Heat_Risk
106,94.2,41.5,46.7,4200,-164,16088,13.127261,79.917388,Normal
129,93.2,41.0,47.2,5480,-120,16196,13.127260,79.917387,Fatigue
153,92.0,41.7,48.9,6880,-84,16324,13.127259,79.917386,Heat_Risk
166,94.2,41.5,46.7,4200,-164,16088,13.127261,79.917388,Heat_Risk
179,93.2,41.0,47.2,5480,-120,16196,13.127260,79.917387,Heat_Risk
190,92.0,41.7,48.9,6880,-84,16324,13.127259,79.917386,Heat_Risk
70,93.8,41.4,46.1,1560,-208,19120,13.127258,79.917385,Normal
84,92.8,41.8,47.1,1720,-152,20640,13.127257,79.917384,Normal
90,93.8,41.4,46.1,1560,-208,19120,13.127258,79.917385,Normal
110,92.8,41.8,47.1,1720,-152,20640,13.127257,79.917384,Normal
128,91.6,41.2,48.3,1880,-96,20420,13.127256,79.917383,Fatigue
140,93.8,41.4,46.1,1560,-208,19120,13.127258,79.917385,Heat_Risk
154,92.8,41.8,47.1,1720,-152,20640,13.127257,79.917384,Heat_Risk
168,91.6,41.2,48.3,1880,-96,20420,13.127256,79.917383,Heat_Risk
104,93.2,41.7,47.2,1500,-308,13680,13.127255,79.917382,Normal
118,92.2,41.8,48.9,1640,-420,12420,13.127254,79.917381,Normal
132,91.0,41.3,49.7,1780,-536,11540,13.127253,79.917380,Fatigue
144,93.2,41.7,47.2,1500,-308,13680,13.127255,79.917382,Heat_Risk
158,92.2,41.8,48.9,1640,-420,12420,13.127254,79.917381,Heat_Risk
172,91.0,41.3,49.7,1780,-536,11540,13.127253,79.917380,Heat_Risk
90,96.0,41.4,43.3,4400,2000,13000,13.127252,79.917379,Normal
108,95.4,41.9,44.7,5400,2600,11600,13.127251,79.917378,Normal
117,94.8,41.2,44.5,6400,3200,10200,13.127250,79.917377,Normal
130,96.0,41.4,43.3,4400,2000,13000,13.127252,79.917379,Fatigue
158,95.4,41.9,44.7,5400,2600,11600,13.127251,79.917378,Heat_Risk
177,94.8,41.2,44.5,6400,3200,10200,13.127250,79.917377,Heat_Risk
135,90.8,41.7,50.1,2380,3680,16640,13.127249,79.917376,Fatigue
148,89.6,41.8,51.3,2660,-4280,17000,13.127248,79.917375,Heat_Risk
167,88.2,41.9,52.4,-3080,920,17420,13.127247,79.917374,Heat_Risk
186,90.8,41.7,50.1,2380,3680,16640,13.127249,79.917376,Heat_Risk
189,89.6,41.8,51.3,2660,-4280,17000,13.127248,79.917375,Heat_Risk
190,88.2,41.9,52.4,-3080,920,17420,13.127247,79.917374 ,Heat_Risk
68,99.0,42.2,40.2,1412,-228,15976,13.127296,79.917423,Normal
75,98.8,42.3,40.3,1424,-212,16020,13.127295,79.917422,Normal
87,95.5,42.5,41.5,1400,-260,16032,13.127294,79.917421,Normal
94,97.0,42.2,40.2,1412,-228,15976,13.127296,79.917423,Normal
90,96.8,42.3,40.3,1424,-212,16020,13.127295,79.917422,Normal
107,95.5,42.5,41.5,1400,-260,16032,13.127294,79.917421,Normal
126,98.2,42.6,41.6,1432,-236,15992,13.127293,79.917420,Fatigue
147,98.5,42.5,41.5,1400,-260,16032,13.127294,79.917421,Heat_Risk
104,98.2,42.6,41.6,1432,-236,15992,13.127293,79.917420,Normal
81,97.8,42.5,42.6,1500,-160,16048,13.127292,79.917419,Normal
96,97.4,42.9,42.4,1476,320,16120,13.127291,79.917418,Normal
105,97.0,42.7,42.5,1448,760,16168,13.127290,79.917417,Normal
82,96.6,42.0,43.2,1512,-500,16100,13.127289,79.917416,Normal
67,97.0,42.7,42.5,1448,760,16168,13.127290,79.917417,Normal
110,96.6,42.0,43.2,1512,-500,16100,13.127289,79.917416,Normal
90,96.2,42.4,43.9,1180,1320,15952,13.127288,79.917415,Normal
108,95.8,42.3,44.2,1080,1840,15876,13.127287,79.917414,Normal
110,95.2,42.6,44.7,980,2360,15812,13.127286,79.917413,Normal
130,94.2,42.4,43.9,1180,1320,15952,13.127288,79.917415,Fatigue
68,96.8,42.3,44.2,1080,1840,15876,13.127287,79.917414,Normal
140,93.2,42.6,44.7,980,2360,15812,13.127286,79.917413,Heat_Risk
112,96.0,42.1,43.3,1360,-1640,15940,13.127285,79.917412,Normal
120,95.6,42.6,44.0,1280,-2160,15884,13.127284,79.917411,Normal
129,95.0,42.9,44.1,1180,-2680,15820,13.127283,79.917410,Fatigue
140,95.6,42.6,44.0,1280,-2160,15884,13.127284,79.917411,Heat_Risk
159,95.0,42.9,44.1,1180,-2680,15820,13.127283,79.917410,Heat_Risk
98,96.8,42.0,42.4,-800,-250,16000,13.127282,79.917409,Normal
106,96.4,42.4,43.3,-1200,-220,15980,13.127281,79.917408,Normal
124,95.8,42.2,43.6,-1600,-180,15960,13.127280,79.917407,Fatigue
146,96.4,42.4,43.3,-1200,-220,15980,13.127281,79.917408,Heat_Risk
164,95.8,42.2,43.6,-1600,-180,15960,13.127280,79.917407,Heat_Risk
98,96.6,42.7,42.0,2200,-210,16008,13.127279,79.917406,Normal
110,96.2,42.8,43.1,2800,-176,15972,13.127278,79.917405,Normal
78,95.6,42.9,44.4,3440,-144,15936,13.127277,79.917404,Normal
127,96.6,42.7,42.0,2200,-210,16008,13.127279,79.917406,Fatigue
149,96.2,42.8,43.1,2800,-176,15972,13.127278,79.917405,Heat_Risk
168,95.6,42.9,44.4,3440,-144,15936,13.127277,79.917404,Heat_Risk
96,97.0,42.4,42.9,1412,-220,17280,13.127276,79.917403,Normal
69,96.6,42.7,43.8,1440,-204,17680,13.127275,79.917402,Normal
77,96.0,42.3,43.6,1456,-188,18080,13.127274,79.917401,Normal
84,96.6,42.7,43.8,1440,-204,17680,13.127275,79.917402,Normal
93,96.0,42.3,43.6,1456,-188,18080,13.127274,79.917401,Normal
134,97.0,42.4,42.9,1412,-220,17280,13.127276,79.917403,Fatigue
154,96.6,42.7,43.8,1440,-204,17680,13.127275,79.917402,Heat_Risk
163,96.0,42.3,43.6,1456,-188,18080,13.127274,79.917401,Heat_Risk
98,96.8,42.1,42.1,1420,-260,14880,13.127273,79.917400,Normal
107,96.2,42.4,43.6,1400,-292,14460,13.127272,79.917399,Normal
130,95.6,42.3,43.4,1384,-324,14040,13.127271,79.917398,Fatigue
142,96.8,42.1,42.1,1420,-260,14880,13.127273,79.917400,Heat_Risk
167,96.2,42.4,43.6,1400,-292,14460,13.127272,79.917399,Heat_Risk
176,95.6,42.3,43.4,1384,-324,14040,13.127271,79.917398,Heat_Risk
118,94.8,42.7,45.8,980,2860,16016,13.127270,79.917397,Normal
129,94.0,42.8,46.9,720,3820,16124,13.127269,79.917396,Fatigue
143,93.0,42.4,47.7,460,4780,16260,13.127268,79.917395,Heat_Risk
158,94.8,42.7,45.8,980,2860,16016,13.127270,79.917397,Heat_Risk
170,94.0,42.8,46.9,720,3820,16124,13.127269,79.917396,Heat_Risk
183,93.0,42.4,47.7,460,4780,16260,13.127268,79.917395,Heat_Risk
104,94.4,42.2,45.4,1560,-3360,16040,13.127267,79.917394,Normal
135,93.6,42.3,46.5,1740,-4340,16156,13.127266,79.917393,Fatigue
150,92.6,42.8,47.5,1940,-5320,16296,13.127265,79.917392,Heat_Risk
164,94.4,42.2,45.4,1560,-3360,16040,13.127267,79.917394,Heat_Risk
177,93.6,42.3,46.5,1740,-4340,16156,13.127266,79.917393,Heat_Risk
190,92.6,42.8,47.5,1940,-5320,16296,13.127265,79.917392,Heat_Risk
102,94.6,42.1,45.0,-3200,-260,16020,13.127264,79.917391,Normal
125,93.8,42.4,46.7,-4800,-220,15980,13.127263,79.917390,Fatigue
138,92.8,42.3,47.5,-6400,-180,15940,13.127262,79.917389,Fatigue
152,94.6,42.1,45.0,-3200,-260,16020,13.127264,79.917391,Heat_Risk
165,93.8,42.4,46.7,-4800,-220,15980,13.127263,79.917390,Heat_Risk
178,92.8,42.3,47.5,-6400,-180,15940,13.127262,79.917389,Heat_Risk
106,94.2,42.5,46.7,4200,-164,16088,13.127261,79.917388,Normal
129,93.2,42.0,47.2,5480,-120,16196,13.127260,79.917387,Fatigue
153,92.0,42.7,48.9,6880,-84,16324,13.127259,79.917386,Heat_Risk
166,94.2,42.5,46.7,4200,-164,16088,13.127261,79.917388,Heat_Risk
179,93.2,42.0,47.2,5480,-120,16196,13.127260,79.917387,Heat_Risk
190,92.0,42.7,48.9,6880,-84,16324,13.127259,79.917386,Heat_Risk
70,93.8,42.4,46.1,1560,-208,19120,13.127258,79.917385,Normal
84,92.8,42.8,47.1,1720,-152,20640,13.127257,79.917384,Normal
90,93.8,42.4,46.1,1560,-208,19120,13.127258,79.917385,Normal
110,92.8,42.8,47.1,1720,-152,20640,13.127257,79.917384,Normal
128,91.6,42.2,48.3,1880,-96,20420,13.127256,79.917383,Fatigue
140,93.8,42.4,46.1,1560,-208,19120,13.127258,79.917385,Heat_Risk
154,92.8,42.8,47.1,1720,-152,20640,13.127257,79.917384,Heat_Risk
168,91.6,42.2,48.3,1880,-96,20420,13.127256,79.917383,Heat_Risk
104,93.2,42.7,47.2,1500,-308,13680,13.127255,79.917382,Normal
118,92.2,42.8,48.9,1640,-420,12420,13.127254,79.917381,Normal
132,91.0,42.3,49.7,1780,-536,11540,13.127253,79.917380,Fatigue
144,93.2,42.7,47.2,1500,-308,13680,13.127255,79.917382,Heat_Risk
158,92.2,42.8,48.9,1640,-420,12420,13.127254,79.917381,Heat_Risk
172,91.0,42.3,49.7,1780,-536,11540,13.127253,79.917380,Heat_Risk
90,96.0,42.4,43.3,4400,2000,13000,13.127252,79.917379,Normal
108,95.4,42.9,44.7,5400,2600,11600,13.127251,79.917378,Normal
117,94.8,42.2,44.5,6400,3200,10200,13.127250,79.917377,Normal
130,96.0,42.4,43.3,4400,2000,13000,13.127252,79.917379,Fatigue
158,95.4,42.9,44.7,5400,2600,11600,13.127251,79.917378,Heat_Risk
177,94.8,42.2,44.5,6400,3200,10200,13.127250,79.917377,Heat_Risk
135,90.8,42.7,50.1,2380,3680,16640,13.127249,79.917376,Fatigue
148,89.6,42.8,51.3,2660,-4280,17000,13.127248,79.917375,Heat_Risk
167,88.2,42.9,52.4,-3080,920,17420,13.127247,79.917374,Heat_Risk
186,90.8,42.7,50.1,2380,3680,16640,13.127249,79.917376,Heat_Risk
189,89.6,42.8,51.3,2660,-4280,17000,13.127248,79.917375,Heat_Risk
190,88.2,42.9,52.4,-3080,920,17420,13.127247,79.917374 ,Heat_Risk
68,99.0,43.2,40.2,1412,-228,15976,13.127296,79.917423,Normal
75,98.8,43.3,40.3,1424,-212,16020,13.127295,79.917422,Normal
87,95.5,43.5,41.5,1400,-260,16032,13.127294,79.917421,Normal
94,99.0,43.2,40.2,1412,-228,15976,13.127296,79.917423,Normal
90,98.8,43.3,40.3,1424,-212,16020,13.127295,79.917422,Normal
107,95.5,43.5,41.5,1400,-260,16032,13.127294,79.917421,Normal
126,98.2,43.6,41.6,1432,-236,15992,13.127293,79.917420,Fatigue
147,98.5,43.5,41.5,1400,-260,16032,13.127294,79.917421,Heat_Risk
104,98.2,43.6,41.6,1432,-236,15992,13.127293,79.917420,Normal
81,97.8,43.5,42.6,1500,-160,16048,13.127292,79.917419,Normal
96,97.4,43.9,42.4,1476,320,16120,13.127291,79.917418,Normal
105,97.0,43.7,42.5,1448,760,16168,13.127290,79.917417,Normal
82,96.6,43.0,43.2,1512,-500,16100,13.127289,79.917416,Normal
67,97.0,43.7,42.5,1448,760,16168,13.127290,79.917417,Normal
110,96.6,43.0,43.2,1512,-500,16100,13.127289,79.917416,Normal
90,96.2,43.4,43.9,1180,1320,15952,13.127288,79.917415,Normal
108,95.8,43.3,44.2,1080,1840,15876,13.127287,79.917414,Normal
110,95.2,43.6,44.7,980,2360,15812,13.127286,79.917413,Normal
130,94.2,43.4,43.9,1180,1320,15952,13.127288,79.917415,Fatigue
68,96.8,43.3,44.2,1080,1840,15876,13.127287,79.917414,Normal
140,93.2,43.6,44.7,980,2360,15812,13.127286,79.917413,Heat_Risk
112,96.0,43.1,43.3,1360,-1640,15940,13.127285,79.917412,Normal
120,95.6,43.6,44.0,1280,-2160,15884,13.127284,79.917411,Normal
129,95.0,43.9,44.1,1180,-2680,15820,13.127283,79.917410,Fatigue
140,95.6,43.6,44.0,1280,-2160,15884,13.127284,79.917411,Heat_Risk
159,95.0,43.9,44.1,1180,-2680,15820,13.127283,79.917410,Heat_Risk
98,96.8,43.0,42.4,-800,-250,16000,13.127282,79.917409,Normal
106,96.4,43.4,43.3,-1200,-220,15980,13.127281,79.917408,Normal
124,95.8,43.2,43.6,-1600,-180,15960,13.127280,79.917407,Fatigue
146,96.4,43.4,43.3,-1200,-220,15980,13.127281,79.917408,Heat_Risk
164,95.8,43.2,43.6,-1600,-180,15960,13.127280,79.917407,Heat_Risk
98,96.6,43.7,42.0,2200,-210,16008,13.127279,79.917406,Normal
110,96.2,43.8,43.1,2800,-176,15972,13.127278,79.917405,Normal
78,95.6,43.9,44.4,3440,-144,15936,13.127277,79.917404,Normal
127,96.6,43.7,42.0,2200,-210,16008,13.127279,79.917406,Fatigue
149,96.2,43.8,43.1,2800,-176,15972,13.127278,79.917405,Heat_Risk
168,95.6,43.9,44.4,3440,-144,15936,13.127277,79.917404,Heat_Risk
96,97.0,43.4,42.9,1412,-220,17280,13.127276,79.917403,Normal
69,96.6,43.7,43.8,1440,-204,17680,13.127275,79.917402,Normal
77,96.0,43.3,43.6,1456,-188,18080,13.127274,79.917401,Normal
84,96.6,43.7,43.8,1440,-204,17680,13.127275,79.917402,Normal
93,96.0,43.3,43.6,1456,-188,18080,13.127274,79.917401,Normal
134,97.0,43.4,42.9,1412,-220,17280,13.127276,79.917403,Fatigue
154,96.6,43.7,43.8,1440,-204,17680,13.127275,79.917402,Heat_Risk
163,96.0,43.3,43.6,1456,-188,18080,13.127274,79.917401,Heat_Risk
98,96.8,43.1,42.1,1420,-260,14880,13.127273,79.917400,Normal
107,96.2,43.4,43.6,1400,-292,14460,13.127272,79.917399,Normal
130,95.6,43.3,43.4,1384,-324,14040,13.127271,79.917398,Fatigue
142,96.8,43.1,42.1,1420,-260,14880,13.127273,79.917400,Heat_Risk
167,96.2,43.4,43.6,1400,-292,14460,13.127272,79.917399,Heat_Risk
176,95.6,43.3,43.4,1384,-324,14040,13.127271,79.917398,Heat_Risk
118,94.8,43.7,45.8,980,2860,16016,13.127270,79.917397,Normal
129,94.0,43.8,46.9,720,3820,16124,13.127269,79.917396,Fatigue
143,93.0,43.4,47.7,460,4780,16260,13.127268,79.917395,Heat_Risk
158,94.8,43.7,45.8,980,2860,16016,13.127270,79.917397,Heat_Risk
170,94.0,43.8,46.9,720,3820,16124,13.127269,79.917396,Heat_Risk
183,93.0,43.4,47.7,460,4780,16260,13.127268,79.917395,Heat_Risk
104,94.4,43.2,45.4,1560,-3360,16040,13.127267,79.917394,Normal
135,93.6,43.3,46.5,1740,-4340,16156,13.127266,79.917393,Fatigue
150,92.6,43.8,47.5,1940,-5320,16296,13.127265,79.917392,Heat_Risk
164,94.4,43.2,45.4,1560,-3360,16040,13.127267,79.917394,Heat_Risk
177,93.6,43.3,46.5,1740,-4340,16156,13.127266,79.917393,Heat_Risk
190,92.6,43.8,47.5,1940,-5320,16296,13.127265,79.917392,Heat_Risk
102,94.6,43.1,45.0,-3200,-260,16020,13.127264,79.917391,Normal
125,93.8,43.4,46.7,-4800,-220,15980,13.127263,79.917390,Fatigue
138,92.8,43.3,47.5,-6400,-180,15940,13.127262,79.917389,Fatigue
152,94.6,43.1,45.0,-3200,-260,16020,13.127264,79.917391,Heat_Risk
165,93.8,43.4,46.7,-4800,-220,15980,13.127263,79.917390,Heat_Risk
178,92.8,43.3,47.5,-6400,-180,15940,13.127262,79.917389,Heat_Risk
106,94.2,43.5,46.7,4200,-164,16088,13.127261,79.917388,Normal
129,93.2,43.0,47.2,5480,-120,16196,13.127260,79.917387,Fatigue
153,92.0,43.7,48.9,6880,-84,16324,13.127259,79.917386,Heat_Risk
166,94.2,43.5,46.7,4200,-164,16088,13.127261,79.917388,Heat_Risk
179,93.2,43.0,47.2,5480,-120,16196,13.127260,79.917387,Heat_Risk
190,92.0,43.7,48.9,6880,-84,16324,13.127259,79.917386,Heat_Risk
70,93.8,43.4,46.1,1560,-208,19120,13.127258,79.917385,Normal
84,92.8,43.8,47.1,1720,-152,20640,13.127257,79.917384,Normal
90,93.8,43.4,46.1,1560,-208,19120,13.127258,79.917385,Normal
110,92.8,43.8,47.1,1720,-152,20640,13.127257,79.917384,Normal
128,91.6,43.2,48.3,1880,-96,20420,13.127256,79.917383,Fatigue
140,93.8,43.4,46.1,1560,-208,19120,13.127258,79.917385,Heat_Risk
154,92.8,43.8,47.1,1720,-152,20640,13.127257,79.917384,Heat_Risk
168,91.6,43.2,48.3,1880,-96,20420,13.127256,79.917383,Heat_Risk
104,93.2,43.7,47.2,1500,-308,13680,13.127255,79.917382,Normal
118,92.2,43.8,48.9,1640,-420,12420,13.127254,79.917381,Normal
132,91.0,43.3,49.7,1780,-536,11540,13.127253,79.917380,Fatigue
144,93.2,43.7,47.2,1500,-308,13680,13.127255,79.917382,Heat_Risk
158,92.2,43.8,48.9,1640,-420,12420,13.127254,79.917381,Heat_Risk
172,91.0,43.3,49.7,1780,-536,11540,13.127253,79.917380,Heat_Risk
90,96.0,43.4,43.3,4400,2000,13000,13.127252,79.917379,Normal
108,95.4,43.9,44.7,5400,2600,11600,13.127251,79.917378,Normal
117,94.8,43.2,44.5,6400,3200,10200,13.127250,79.917377,Normal
130,96.0,43.4,43.3,4400,2000,13000,13.127252,79.917379,Fatigue
158,95.4,43.9,44.7,5400,2600,11600,13.127251,79.917378,Heat_Risk
177,94.8,43.2,44.5,6400,3200,10200,13.127250,79.917377,Heat_Risk
135,90.8,43.7,50.1,2380,3680,16640,13.127249,79.917376,Fatigue
148,89.6,43.8,51.3,2660,-4280,17000,13.127248,79.917375,Heat_Risk
167,88.2,43.9,52.4,-3080,920,17420,13.127247,79.917374,Heat_Risk
186,90.8,43.7,50.1,2380,3680,16640,13.127249,79.917376,Heat_Risk
189,89.6,43.8,51.3,2660,-4280,17000,13.127248,79.917375,Heat_Risk
190,88.2,43.9,52.4,-3080,920,17420,13.127247,79.917374 ,Heat_Risk
68,99.0,44.2,40.2,1412,-228,15976,13.127296,79.917423,Normal
75,98.8,44.3,40.3,1424,-212,16020,13.127295,79.917422,Normal
87,95.5,44.5,41.5,1400,-260,16032,13.127294,79.917421,Normal
94,99.0,44.2,40.2,1412,-228,15976,13.127296,79.917423,Normal
90,98.8,44.3,40.3,1424,-212,16020,13.127295,79.917422,Normal
107,95.5,44.5,41.5,1400,-260,16032,13.127294,79.917421,Normal
126,98.2,44.6,41.6,1432,-236,15992,13.127293,79.917420,Fatigue
147,98.5,44.5,41.5,1400,-260,16032,13.127294,79.917421,Heat_Risk
104,98.2,44.6,41.6,1432,-236,15992,13.127293,79.917420,Normal
81,97.8,44.5,42.6,1500,-160,16048,13.127292,79.917419,Normal
96,97.4,44.9,42.4,1476,320,16120,13.127291,79.917418,Normal
105,97.0,44.7,42.5,1448,760,16168,13.127290,79.917417,Normal
82,96.6,44.0,43.2,1512,-500,16100,13.127289,79.917416,Normal
67,97.0,44.7,42.5,1448,760,16168,13.127290,79.917417,Normal
110,96.6,44.0,43.2,1512,-500,16100,13.127289,79.917416,Normal
90,96.2,44.4,43.9,1180,1320,15952,13.127288,79.917415,Normal
108,95.8,44.3,44.2,1080,1840,15876,13.127287,79.917414,Normal
110,95.2,44.6,44.7,980,2360,15812,13.127286,79.917413,Normal
130,94.2,44.4,43.9,1180,1320,15952,13.127288,79.917415,Fatigue
68,93.8,44.3,44.2,1080,1840,15876,13.127287,79.917414,Normal
140,93.2,44.6,44.7,980,2360,15812,13.127286,79.917413,Heat_Risk
112,96.0,44.1,43.3,1360,-1640,15940,13.127285,79.917412,Normal
120,95.6,44.6,44.0,1280,-2160,15884,13.127284,79.917411,Normal
129,95.0,44.9,44.1,1180,-2680,15820,13.127283,79.917410,Fatigue
140,95.6,44.6,44.0,1280,-2160,15884,13.127284,79.917411,Heat_Risk
159,95.0,44.9,44.1,1180,-2680,15820,13.127283,79.917410,Heat_Risk
98,96.8,44.0,42.4,-800,-250,16000,13.127282,79.917409,Normal
106,96.4,44.4,43.3,-1200,-220,15980,13.127281,79.917408,Normal
124,95.8,44.2,43.6,-1600,-180,15960,13.127280,79.917407,Fatigue
146,96.4,44.4,43.3,-1200,-220,15980,13.127281,79.917408,Heat_Risk
164,95.8,44.2,43.6,-1600,-180,15960,13.127280,79.917407,Heat_Risk
98,96.6,44.7,42.0,2200,-210,16008,13.127279,79.917406,Normal
110,96.2,44.8,43.1,2800,-176,15972,13.127278,79.917405,Normal
78,95.6,44.9,44.4,3440,-144,15936,13.127277,79.917404,Normal
127,96.6,44.7,42.0,2200,-210,16008,13.127279,79.917406,Fatigue
149,96.2,44.8,43.1,2800,-176,15972,13.127278,79.917405,Heat_Risk
168,95.6,44.9,44.4,3440,-144,15936,13.127277,79.917404,Heat_Risk
96,97.0,44.4,42.9,1412,-220,17280,13.127276,79.917403,Normal
69,96.6,44.7,43.8,1440,-204,17680,13.127275,79.917402,Normal
77,96.0,44.3,43.6,1456,-188,18080,13.127274,79.917401,Normal
84,96.6,44.7,43.8,1440,-204,17680,13.127275,79.917402,Normal
93,96.0,44.3,43.6,1456,-188,18080,13.127274,79.917401,Normal
134,97.0,44.4,42.9,1412,-220,17280,13.127276,79.917403,Fatigue
154,96.6,44.7,43.8,1440,-204,17680,13.127275,79.917402,Heat_Risk
163,96.0,44.3,43.6,1456,-188,18080,13.127274,79.917401,Heat_Risk
98,96.8,44.1,42.1,1420,-260,14880,13.127273,79.917400,Normal
107,96.2,44.4,43.6,1400,-292,14460,13.127272,79.917399,Normal
130,95.6,44.3,43.4,1384,-324,14040,13.127271,79.917398,Fatigue
142,96.8,44.1,42.1,1420,-260,14880,13.127273,79.917400,Heat_Risk
167,96.2,44.4,43.6,1400,-292,14460,13.127272,79.917399,Heat_Risk
176,95.6,44.3,43.4,1384,-324,14040,13.127271,79.917398,Heat_Risk
118,94.8,44.7,45.8,980,2860,16016,13.127270,79.917397,Normal
129,94.0,44.8,46.9,720,3820,16124,13.127269,79.917396,Fatigue
